参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
女仔搵女仔朋友,hihi:p,Hello🙆🏻‍♀️,,,,1,6,,,
求AF2602 source,Pm,Pm,Pm,1,21,,,,,
平放af source,pm,火圈,Pm,1,46,,,,,
__,Pm,咁快放？,Pm for more information,1,3,,,放AF2108 A+ source,,
放A&F source,Pm,Pm 平放,Pm,1,12,,,,,
♨️今年fb 畢業生麻煩入一入黎🐽,Pm,Pm,,,,1,22,,,
service period請病假點計分,但count 唔count我哋控制唔到,Send完email比lecturer等reply同埋你要通知埋你嘅organisation有醫生紙嘅比佢哋,SL唔似exam咁有得計ca同補考🥲 service hours就真係計service hours，已經寫咗email去問，有冇人試過知點算,1,3,,,,,
舊hall點調hall?,想問下調hall係咪一定要同人調？,調咩hall機會會大啲？,睇你調邊個🤓,1,4,,,,,
Sell BRE A range Sources,Pm,"放surveying all A range sources, pm if interested",Pm,1,9,,,,,
與機器人對話贏百佳券！實驗者招募！,顶顶！,🤣因為bu的帳號是vip,點解條link 係寫hkbu 但會係polyu 🤔🤔😂,2,5,,,,,
有冇人黎緊sem2 去荷蘭exchange~,Say 個hi,,,,,,,,1,1
平放source 每科$60-80,過期,pm！,"AF2108 Financial AccountingAF3513 Business LawCLC3221P Chinese Language Communications for BusinessELC3221 Workplace English for Business students 1ME1D02 Products and materials in modern society AF3110 Intermediate Accounting 1AF3112 Management Accounting 2AF3113 Business FinanceAF3507 Company LawELC3222 Workplace English for Business students 2AF4513 Corporate social Responsibility AF4317 Derivative Security 有自製Notes, assignments, group projects (如有), Mid term test, exam有意直接pm",2,76,,,,,
Bre year 3 仲有冇機會exchange ￼？,中國唔使,需要ielts 嗎,at least>3,1,7,,,,,
放FUN WITH LANGUAGE CBS1A01P,pm,好好玩咩😞,我無讀過喎 用我ig做乜😢,10,84,,,,,
收me1d01 source,pm,plz pm whatsapp 53933699,Plz pm,1,15,,,,,
apss2s09s係不係靚sl?,我A，有source，可pm,Workload大,有啲學生鍾意病咗都返學，有啲學生鍾意趴喺地下扭計，有啲學生鍾意整到你痛，你要做嘅嘢就係諗辦法得到佢哋嘅注意並且停止佢哋嘅騷擾。,3,15,,,,,
想收舊hall offer 男 最好衣家已經￼住緊￼,Pm,Pm,HI,1,8,,,,,
有冇人sem 1 /2 Manchester exchange,Pm🙏🏼,,,,,,,,1,1
想問一問畢業袍係要自己訂定係poly會幫手訂？🙇‍♀️,pm,Pm,pm,3,20,,,,,
放AF A range source(i.e. Claw),Dm,放Blaw、Claw、MA1、IA1、CLC3221P同CSR A range sources有proof  有意dm,放Blaw、Claw (書+notes)、MA1、IA1、CLC3221P同CSR A range sources有proof  有意dm,1,8,,,,,
Wie 係咪得pass fail 冇grade,okok thx,感謝師兄/姐!🙇🏻‍♀️,Pass/fail，無grade,1,9,,,,,
眼仔lab調時間,之前我 so2s01 reg咗lab003，我想調去lab001，請問有無人肯同我換😭有意請dm，有償,,,,,,,,1,1
"求APSS1B14,ITC1A01 Source","A range, 1B14 sources",pm,pm,2,22,,,,,
__,有無人派左去railway,你哋派左去邊,,,,2,2,Lands intern入,,
__,Pm me,Hello，我想要source🥲🥲,Pm🙌🏻🥹,3,29,,,ABCT1D05 Chinese Medicine,,
點樣book poly 牙醫？,我打電話ok喎，上網book就即刻搵笨喇,打電話係十世都冇人聽,一般要親身去診所book,1,5,,,,,
